# -*- ck2.history.provinces -*-

# 841 - Tangiers

# County Title
title = c_tangiers

# Settlements
max_settlements = 5 #old 4

b_tangiers = castle
b_asilah = city
b_kasrkutama = temple

#b_laraiche = city
#b_mulaybuselham = temple
#b_ainbenamar = castle

#b_charkia = castle
#b_barrha = castle

# Misc
culture = masmuda
religion = sunni

# History
399.1.1 = {
	religion = nicene_christian
<<<<<<< HEAD
	culture = roman_mauretanian
=======
	culture = sanhaja
>>>>>>> 486aa99efb99e67cd62b6de36657abd18bc0c75d
}
400.1.1 = {
	b_tangiers = tribal
	remove_settlement = b_asilah
	remove_settlement = b_kasrkutama
}
600.1.1 = {
	b_tangiers = castle
	b_asilah = city
	b_kasrkutama = temple
}
601.1.1 = {
	religion = sunni
	culture = masmuda
}





# EDITMOD 867
867.1.1 = {
	b_tangiers = castle
	b_tangiers = ca_barracks_1
	b_tangiers = ca_barracks_2
	b_tangiers = ca_wall_1
	b_tangiers = ca_wall_2
	b_tangiers = ca_keep_1
	b_tangiers = ca_keep_2
	b_tangiers = ca_militia_barracks_1
	b_tangiers = ca_militia_barracks_2
	b_tangiers = ca_training_grounds_1
	b_tangiers = ca_training_grounds_2
	b_tangiers = ca_stable_1
	b_tangiers = ca_stable_2
	b_tangiers = ca_town_1
	b_tangiers = ca_town_2
	b_tangiers = ca_wall_q_1
	b_tangiers = castle_tower_1
	b_tangiers = castle_smith_1
	b_tangiers = stone_mine_1
	b_laraiche = castle
	b_laraiche = ca_barracks_1
	b_laraiche = ca_barracks_2
	b_laraiche = ca_wall_1
	b_laraiche = ca_wall_2
	b_laraiche = ca_keep_1
	b_laraiche = ca_keep_2
	b_laraiche = ca_militia_barracks_1
	b_laraiche = ca_militia_barracks_2
	b_laraiche = ca_training_grounds_1
	b_laraiche = ca_training_grounds_2
	b_laraiche = ca_stable_1
	b_laraiche = ca_stable_2
	b_laraiche = ca_town_1
	b_laraiche = ca_town_2
	b_laraiche = ca_wall_q_1
	b_laraiche = castle_tower_1
	b_laraiche = castle_smith_1
	b_laraiche = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_laraiche
}


# EDITMOD 936
936.1.1 = {
	b_tangiers = castle
	b_tangiers = ca_barracks_1
	b_tangiers = ca_barracks_2
	b_tangiers = ca_wall_1
	b_tangiers = ca_wall_2
	b_tangiers = ca_keep_1
	b_tangiers = ca_keep_2
	b_tangiers = ca_militia_barracks_1
	b_tangiers = ca_militia_barracks_2
	b_tangiers = ca_training_grounds_1
	b_tangiers = ca_training_grounds_2
	b_tangiers = ca_stable_1
	b_tangiers = ca_stable_2
	b_tangiers = ca_town_1
	b_tangiers = ca_town_2
	b_tangiers = ca_wall_q_1
	b_tangiers = castle_tower_1
	b_tangiers = castle_smith_1
	b_tangiers = stone_mine_1
	b_laraiche = castle
	b_laraiche = ca_barracks_1
	b_laraiche = ca_barracks_2
	b_laraiche = ca_wall_1
	b_laraiche = ca_wall_2
	b_laraiche = ca_keep_1
	b_laraiche = ca_keep_2
	b_laraiche = ca_militia_barracks_1
	b_laraiche = ca_militia_barracks_2
	b_laraiche = ca_training_grounds_1
	b_laraiche = ca_training_grounds_2
	b_laraiche = ca_stable_1
	b_laraiche = ca_stable_2
	b_laraiche = ca_town_1
	b_laraiche = ca_town_2
	b_laraiche = ca_wall_q_1
	b_laraiche = castle_tower_1
	b_laraiche = castle_smith_1
	b_laraiche = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_laraiche
}


# EDITMOD 1066
1066.1.1 = {
	b_tangiers = castle
	b_tangiers = ca_barracks_1
	b_tangiers = ca_barracks_2
	b_tangiers = ca_barracks_3
	b_tangiers = ca_wall_1
	b_tangiers = ca_wall_2
	b_tangiers = ca_keep_1
	b_tangiers = ca_keep_2
	b_tangiers = ca_keep_3
	b_tangiers = ca_militia_barracks_1
	b_tangiers = ca_militia_barracks_2
	b_tangiers = ca_militia_barracks_3
	b_tangiers = ca_training_grounds_1
	b_tangiers = ca_training_grounds_2
	b_tangiers = ca_stable_1
	b_tangiers = ca_stable_2
	b_tangiers = ca_stable_3
	b_tangiers = ca_town_1
	b_tangiers = ca_town_2
	b_tangiers = ca_town_3
	b_tangiers = ca_wall_q_1
	b_tangiers = ca_wall_q_2
	b_tangiers = castle_tower_1
	b_tangiers = castle_smith_1
	b_tangiers = stone_mine_1
	b_laraiche = castle
	b_laraiche = ca_barracks_1
	b_laraiche = ca_barracks_2
	b_laraiche = ca_barracks_3
	b_laraiche = ca_wall_1
	b_laraiche = ca_wall_2
	b_laraiche = ca_keep_1
	b_laraiche = ca_keep_2
	b_laraiche = ca_keep_3
	b_laraiche = ca_militia_barracks_1
	b_laraiche = ca_militia_barracks_2
	b_laraiche = ca_militia_barracks_3
	b_laraiche = ca_training_grounds_1
	b_laraiche = ca_training_grounds_2
	b_laraiche = ca_stable_1
	b_laraiche = ca_stable_2
	b_laraiche = ca_stable_3
	b_laraiche = ca_town_1
	b_laraiche = ca_town_2
	b_laraiche = ca_town_3
	b_laraiche = ca_wall_q_1
	b_laraiche = ca_wall_q_2
	b_laraiche = castle_tower_1
	b_laraiche = castle_smith_1
	b_laraiche = stone_mine_1
	b_mulaybuselham = castle
	b_mulaybuselham = ca_barracks_1
	b_mulaybuselham = ca_barracks_2
	b_mulaybuselham = ca_barracks_3
	b_mulaybuselham = ca_wall_1
	b_mulaybuselham = ca_wall_2
	b_mulaybuselham = ca_keep_1
	b_mulaybuselham = ca_keep_2
	b_mulaybuselham = ca_keep_3
	b_mulaybuselham = ca_militia_barracks_1
	b_mulaybuselham = ca_militia_barracks_2
	b_mulaybuselham = ca_militia_barracks_3
	b_mulaybuselham = ca_training_grounds_1
	b_mulaybuselham = ca_training_grounds_2
	b_mulaybuselham = ca_stable_1
	b_mulaybuselham = ca_stable_2
	b_mulaybuselham = ca_stable_3
	b_mulaybuselham = ca_town_1
	b_mulaybuselham = ca_town_2
	b_mulaybuselham = ca_town_3
	b_mulaybuselham = ca_wall_q_1
	b_mulaybuselham = ca_wall_q_2
	b_mulaybuselham = castle_tower_1
	b_mulaybuselham = castle_smith_1
	b_mulaybuselham = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_laraiche
	remove_settlement = b_mulaybuselham
}
