# -*- ck2.history.provinces -*-

# 692 - Al Nadjaf

# County Title
title = c_al_nadjaf

# Settlements
max_settlements = 4 #old 3

b_qadisiyyah = castle
b_waqisa = temple #was city
#b_masjidsad = city

# Misc
culture = levantine_arabic
religion = sunni

# History
399.1.1 = {
	religion = nicene_christian
	culture = roman
}
601.1.1 = {
	religion = sunni
	culture = levantine_arabic
}
850.1.1 = { religion = shiite}


# EDITMOD 867
867.1.1 = {
	b_qadisiyyah = castle
	b_qadisiyyah = ca_barracks_1
	b_qadisiyyah = ca_barracks_2
	b_qadisiyyah = ca_wall_1
	b_qadisiyyah = ca_wall_2
	b_qadisiyyah = ca_keep_1
	b_qadisiyyah = ca_keep_2
	b_qadisiyyah = ca_militia_barracks_1
	b_qadisiyyah = ca_militia_barracks_2
	b_qadisiyyah = ca_training_grounds_1
	b_qadisiyyah = ca_training_grounds_2
	b_qadisiyyah = ca_stable_1
	b_qadisiyyah = ca_stable_2
	b_qadisiyyah = ca_town_1
	b_qadisiyyah = ca_town_2
	b_qadisiyyah = ca_wall_q_1
	b_qadisiyyah = castle_tower_1
	b_qadisiyyah = castle_smith_1
	b_qadisiyyah = stone_mine_1
	b_masjidsad = castle
	b_masjidsad = ca_barracks_1
	b_masjidsad = ca_barracks_2
	b_masjidsad = ca_wall_1
	b_masjidsad = ca_wall_2
	b_masjidsad = ca_keep_1
	b_masjidsad = ca_keep_2
	b_masjidsad = ca_militia_barracks_1
	b_masjidsad = ca_militia_barracks_2
	b_masjidsad = ca_training_grounds_1
	b_masjidsad = ca_training_grounds_2
	b_masjidsad = ca_stable_1
	b_masjidsad = ca_stable_2
	b_masjidsad = ca_town_1
	b_masjidsad = ca_town_2
	b_masjidsad = ca_wall_q_1
	b_masjidsad = castle_tower_1
	b_masjidsad = castle_smith_1
	b_masjidsad = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_masjidsad
}


# EDITMOD 936
936.1.1 = {
	b_qadisiyyah = castle
	b_qadisiyyah = ca_barracks_1
	b_qadisiyyah = ca_barracks_2
	b_qadisiyyah = ca_wall_1
	b_qadisiyyah = ca_wall_2
	b_qadisiyyah = ca_keep_1
	b_qadisiyyah = ca_keep_2
	b_qadisiyyah = ca_militia_barracks_1
	b_qadisiyyah = ca_militia_barracks_2
	b_qadisiyyah = ca_training_grounds_1
	b_qadisiyyah = ca_training_grounds_2
	b_qadisiyyah = ca_stable_1
	b_qadisiyyah = ca_stable_2
	b_qadisiyyah = ca_town_1
	b_qadisiyyah = ca_town_2
	b_qadisiyyah = ca_wall_q_1
	b_qadisiyyah = castle_tower_1
	b_qadisiyyah = castle_smith_1
	b_qadisiyyah = stone_mine_1
	b_masjidsad = castle
	b_masjidsad = ca_barracks_1
	b_masjidsad = ca_barracks_2
	b_masjidsad = ca_wall_1
	b_masjidsad = ca_wall_2
	b_masjidsad = ca_keep_1
	b_masjidsad = ca_keep_2
	b_masjidsad = ca_militia_barracks_1
	b_masjidsad = ca_militia_barracks_2
	b_masjidsad = ca_training_grounds_1
	b_masjidsad = ca_training_grounds_2
	b_masjidsad = ca_stable_1
	b_masjidsad = ca_stable_2
	b_masjidsad = ca_town_1
	b_masjidsad = ca_town_2
	b_masjidsad = ca_wall_q_1
	b_masjidsad = castle_tower_1
	b_masjidsad = castle_smith_1
	b_masjidsad = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_masjidsad
}


# EDITMOD 1066
1066.1.1 = {
	b_qadisiyyah = castle
	b_qadisiyyah = ca_barracks_1
	b_qadisiyyah = ca_barracks_2
	b_qadisiyyah = ca_barracks_3
	b_qadisiyyah = ca_wall_1
	b_qadisiyyah = ca_wall_2
	b_qadisiyyah = ca_keep_1
	b_qadisiyyah = ca_keep_2
	b_qadisiyyah = ca_keep_3
	b_qadisiyyah = ca_militia_barracks_1
	b_qadisiyyah = ca_militia_barracks_2
	b_qadisiyyah = ca_militia_barracks_3
	b_qadisiyyah = ca_training_grounds_1
	b_qadisiyyah = ca_training_grounds_2
	b_qadisiyyah = ca_stable_1
	b_qadisiyyah = ca_stable_2
	b_qadisiyyah = ca_stable_3
	b_qadisiyyah = ca_town_1
	b_qadisiyyah = ca_town_2
	b_qadisiyyah = ca_town_3
	b_qadisiyyah = ca_wall_q_1
	b_qadisiyyah = ca_wall_q_2
	b_qadisiyyah = castle_tower_1
	b_qadisiyyah = castle_smith_1
	b_qadisiyyah = stone_mine_1
	b_masjidsad = castle
	b_masjidsad = ca_barracks_1
	b_masjidsad = ca_barracks_2
	b_masjidsad = ca_barracks_3
	b_masjidsad = ca_wall_1
	b_masjidsad = ca_wall_2
	b_masjidsad = ca_keep_1
	b_masjidsad = ca_keep_2
	b_masjidsad = ca_keep_3
	b_masjidsad = ca_militia_barracks_1
	b_masjidsad = ca_militia_barracks_2
	b_masjidsad = ca_militia_barracks_3
	b_masjidsad = ca_training_grounds_1
	b_masjidsad = ca_training_grounds_2
	b_masjidsad = ca_stable_1
	b_masjidsad = ca_stable_2
	b_masjidsad = ca_stable_3
	b_masjidsad = ca_town_1
	b_masjidsad = ca_town_2
	b_masjidsad = ca_town_3
	b_masjidsad = ca_wall_q_1
	b_masjidsad = ca_wall_q_2
	b_masjidsad = castle_tower_1
	b_masjidsad = castle_smith_1
	b_masjidsad = stone_mine_1
	b_al_nadjaf4 = castle
	b_al_nadjaf4 = ca_barracks_1
	b_al_nadjaf4 = ca_barracks_2
	b_al_nadjaf4 = ca_barracks_3
	b_al_nadjaf4 = ca_wall_1
	b_al_nadjaf4 = ca_wall_2
	b_al_nadjaf4 = ca_keep_1
	b_al_nadjaf4 = ca_keep_2
	b_al_nadjaf4 = ca_keep_3
	b_al_nadjaf4 = ca_militia_barracks_1
	b_al_nadjaf4 = ca_militia_barracks_2
	b_al_nadjaf4 = ca_militia_barracks_3
	b_al_nadjaf4 = ca_training_grounds_1
	b_al_nadjaf4 = ca_training_grounds_2
	b_al_nadjaf4 = ca_stable_1
	b_al_nadjaf4 = ca_stable_2
	b_al_nadjaf4 = ca_stable_3
	b_al_nadjaf4 = ca_town_1
	b_al_nadjaf4 = ca_town_2
	b_al_nadjaf4 = ca_town_3
	b_al_nadjaf4 = ca_wall_q_1
	b_al_nadjaf4 = ca_wall_q_2
	b_al_nadjaf4 = castle_tower_1
	b_al_nadjaf4 = castle_smith_1
	b_al_nadjaf4 = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_masjidsad
	remove_settlement = b_al_nadjaf4
}
