# -*- ck2.history.provinces -*-

# 183 - Aracena

# County Title
title = c_aracena

# Settlements
max_settlements = 5
b_merida = castle
b_llerena = temple
b_azuaga = city
#b_medellin = castle
#b_almendralejo = city
#b_zalamea = temple
#b_monesterio = temple

culture = andalusian_arabic
religion = sunni

# History
1066.1.1 = {
	b_merida = castle
	b_merida = ca_barracks_1
	b_merida = ca_barracks_2
	b_merida = ca_barracks_3
	b_merida = ca_wall_1
	b_merida = ca_wall_2
	b_merida = ca_keep_1
	b_merida = ca_keep_2
	b_merida = ca_keep_3
	b_merida = ca_militia_barracks_1
	b_merida = ca_militia_barracks_2
	b_merida = ca_militia_barracks_3
	b_merida = ca_training_grounds_1
	b_merida = ca_training_grounds_2
	b_merida = ca_stable_1
	b_merida = ca_stable_2
	b_merida = ca_stable_3
	b_merida = ca_town_1
	b_merida = ca_town_2
	b_merida = ca_town_3
	b_merida = ca_wall_q_1
	b_merida = ca_wall_q_2
	b_merida = castle_tower_1
	b_merida = castle_tower_2
	b_merida = castle_smith_1
	b_merida = castle_smith_2
	b_merida = stone_mine_1
	b_medellin = castle
	b_medellin = ca_barracks_1
	b_medellin = ca_barracks_2
	b_medellin = ca_barracks_3
	b_medellin = ca_wall_1
	b_medellin = ca_wall_2
	b_medellin = ca_keep_1
	b_medellin = ca_keep_2
	b_medellin = ca_keep_3
	b_medellin = ca_militia_barracks_1
	b_medellin = ca_militia_barracks_2
	b_medellin = ca_militia_barracks_3
	b_medellin = ca_training_grounds_1
	b_medellin = ca_training_grounds_2
	b_medellin = ca_stable_1
	b_medellin = ca_stable_2
	b_medellin = ca_stable_3
	b_medellin = ca_town_1
	b_medellin = ca_town_2
	b_medellin = ca_town_3
	b_medellin = ca_wall_q_1
	b_medellin = ca_wall_q_2
	b_medellin = castle_tower_1
	b_medellin = castle_tower_2
	b_medellin = castle_smith_1
	b_medellin = castle_smith_2
	b_medellin = stone_mine_1
	b_almendralejo = castle
	b_almendralejo = ca_barracks_1
	b_almendralejo = ca_barracks_2
	b_almendralejo = ca_barracks_3
	b_almendralejo = ca_wall_1
	b_almendralejo = ca_wall_2
	b_almendralejo = ca_keep_1
	b_almendralejo = ca_keep_2
	b_almendralejo = ca_keep_3
	b_almendralejo = ca_militia_barracks_1
	b_almendralejo = ca_militia_barracks_2
	b_almendralejo = ca_militia_barracks_3
	b_almendralejo = ca_training_grounds_1
	b_almendralejo = ca_training_grounds_2
	b_almendralejo = ca_stable_1
	b_almendralejo = ca_stable_2
	b_almendralejo = ca_stable_3
	b_almendralejo = ca_town_1
	b_almendralejo = ca_town_2
	b_almendralejo = ca_town_3
	b_almendralejo = ca_wall_q_1
	b_almendralejo = ca_wall_q_2
	b_almendralejo = castle_tower_1
	b_almendralejo = castle_tower_2
	b_almendralejo = castle_smith_1
	b_almendralejo = castle_smith_2
	b_almendralejo = stone_mine_1
}

1246.1.1 = { religion = catholic }
1255.1.1 = { culture = castillan }
