# -*- ck2.history.provinces -*-

# 842 - Infa

# County Title
title = c_infa

# Settlements
max_settlements = 4 #old 3

b_chella = castle
#b_rabat = castle
b_infa = city

#b_sidirahhal = temple

#b_berrechid = temple
#b_azemmour = castle
#b_khouribga = castle

# Misc
culture = masmuda
religion = sunni

# History
399.1.1 = {
	religion = pagan
	culture = sanhaja
}
601.1.1 = {
	religion = sunni
	culture = masmuda
}

#987.1.1 = { b_chella = tribal }
# EDITMOD 867
867.1.1 = {
	b_chella = castle
	b_chella = ca_barracks_1
	b_chella = ca_barracks_2
	b_chella = ca_wall_1
	b_chella = ca_wall_2
	b_chella = ca_keep_1
	b_chella = ca_keep_2
	b_chella = ca_militia_barracks_1
	b_chella = ca_militia_barracks_2
	b_chella = ca_training_grounds_1
	b_chella = ca_training_grounds_2
	b_chella = ca_stable_1
	b_chella = ca_stable_2
	b_chella = ca_town_1
	b_chella = ca_town_2
	b_chella = ca_wall_q_1
	b_chella = castle_tower_1
	b_chella = castle_smith_1
	b_chella = stone_mine_1
	b_rabat = castle
	b_rabat = ca_barracks_1
	b_rabat = ca_barracks_2
	b_rabat = ca_wall_1
	b_rabat = ca_wall_2
	b_rabat = ca_keep_1
	b_rabat = ca_keep_2
	b_rabat = ca_militia_barracks_1
	b_rabat = ca_militia_barracks_2
	b_rabat = ca_training_grounds_1
	b_rabat = ca_training_grounds_2
	b_rabat = ca_stable_1
	b_rabat = ca_stable_2
	b_rabat = ca_town_1
	b_rabat = ca_town_2
	b_rabat = ca_wall_q_1
	b_rabat = castle_tower_1
	b_rabat = castle_smith_1
	b_rabat = stone_mine_1
}
# EDITMOD 867
868.1.1 = {
	remove_settlement = b_rabat
}

# EDITMOD 936
936.1.1 = {
	b_chella = castle
	b_chella = ca_barracks_1
	b_chella = ca_barracks_2
	b_chella = ca_wall_1
	b_chella = ca_wall_2
	b_chella = ca_keep_1
	b_chella = ca_keep_2
	b_chella = ca_militia_barracks_1
	b_chella = ca_militia_barracks_2
	b_chella = ca_training_grounds_1
	b_chella = ca_training_grounds_2
	b_chella = ca_stable_1
	b_chella = ca_stable_2
	b_chella = ca_town_1
	b_chella = ca_town_2
	b_chella = ca_wall_q_1
	b_chella = castle_tower_1
	b_chella = castle_smith_1
	b_chella = stone_mine_1
	b_rabat = castle
	b_rabat = ca_barracks_1
	b_rabat = ca_barracks_2
	b_rabat = ca_wall_1
	b_rabat = ca_wall_2
	b_rabat = ca_keep_1
	b_rabat = ca_keep_2
	b_rabat = ca_militia_barracks_1
	b_rabat = ca_militia_barracks_2
	b_rabat = ca_training_grounds_1
	b_rabat = ca_training_grounds_2
	b_rabat = ca_stable_1
	b_rabat = ca_stable_2
	b_rabat = ca_town_1
	b_rabat = ca_town_2
	b_rabat = ca_wall_q_1
	b_rabat = castle_tower_1
	b_rabat = castle_smith_1
	b_rabat = stone_mine_1
}
# EDITMOD 936
937.1.1 = {
	remove_settlement = b_rabat
}

# EDITMOD 1066
1066.1.1 = {
	b_chella = castle
	b_chella = ca_barracks_1
	b_chella = ca_barracks_2
	b_chella = ca_barracks_3
	b_chella = ca_wall_1
	b_chella = ca_wall_2
	b_chella = ca_keep_1
	b_chella = ca_keep_2
	b_chella = ca_keep_3
	b_chella = ca_militia_barracks_1
	b_chella = ca_militia_barracks_2
	b_chella = ca_militia_barracks_3
	b_chella = ca_training_grounds_1
	b_chella = ca_training_grounds_2
	b_chella = ca_stable_1
	b_chella = ca_stable_2
	b_chella = ca_stable_3
	b_chella = ca_town_1
	b_chella = ca_town_2
	b_chella = ca_town_3
	b_chella = ca_wall_q_1
	b_chella = ca_wall_q_2
	b_chella = castle_tower_1
	b_chella = castle_smith_1
	b_chella = stone_mine_1
	b_rabat = castle
	b_rabat = ca_barracks_1
	b_rabat = ca_barracks_2
	b_rabat = ca_barracks_3
	b_rabat = ca_wall_1
	b_rabat = ca_wall_2
	b_rabat = ca_keep_1
	b_rabat = ca_keep_2
	b_rabat = ca_keep_3
	b_rabat = ca_militia_barracks_1
	b_rabat = ca_militia_barracks_2
	b_rabat = ca_militia_barracks_3
	b_rabat = ca_training_grounds_1
	b_rabat = ca_training_grounds_2
	b_rabat = ca_stable_1
	b_rabat = ca_stable_2
	b_rabat = ca_stable_3
	b_rabat = ca_town_1
	b_rabat = ca_town_2
	b_rabat = ca_town_3
	b_rabat = ca_wall_q_1
	b_rabat = ca_wall_q_2
	b_rabat = castle_tower_1
	b_rabat = castle_smith_1
	b_rabat = stone_mine_1
	b_sidirahhal = castle
	b_sidirahhal = ca_barracks_1
	b_sidirahhal = ca_barracks_2
	b_sidirahhal = ca_barracks_3
	b_sidirahhal = ca_wall_1
	b_sidirahhal = ca_wall_2
	b_sidirahhal = ca_keep_1
	b_sidirahhal = ca_keep_2
	b_sidirahhal = ca_keep_3
	b_sidirahhal = ca_militia_barracks_1
	b_sidirahhal = ca_militia_barracks_2
	b_sidirahhal = ca_militia_barracks_3
	b_sidirahhal = ca_training_grounds_1
	b_sidirahhal = ca_training_grounds_2
	b_sidirahhal = ca_stable_1
	b_sidirahhal = ca_stable_2
	b_sidirahhal = ca_stable_3
	b_sidirahhal = ca_town_1
	b_sidirahhal = ca_town_2
	b_sidirahhal = ca_town_3
	b_sidirahhal = ca_wall_q_1
	b_sidirahhal = ca_wall_q_2
	b_sidirahhal = castle_tower_1
	b_sidirahhal = castle_smith_1
	b_sidirahhal = stone_mine_1
}
# EDITMOD 1066
1067.1.1 = {
	remove_settlement = b_rabat
	remove_settlement = b_sidirahhal
}

1150.1.1 = {
	b_rabat = castle
	capital = b_rabat
	remove_settlement = b_chella
}
